procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CET
 7  0  16592 6111088 1659760 16484264    0    0     0    21 3058 8914 35  0 65  0  0 2018-03-21 09:04:01
35  0  16592 6083636 1659760 16484260    0    0     0   121 2789 2415 30  1 70  0  0 2018-03-21 09:04:02
 9  1  16592 6099424 1659764 16484272    0    0     0    45 3231 7580 34  0 65  0  0 2018-03-21 09:04:03
 8  0  16592 6097364 1659764 16484268    0    0     0     4 3064 5802 33  0 67  0  0 2018-03-21 09:04:04
22  0  16592 6082728 1659764 16484304    0    0     0     0 2957 4800 34  0 66  0  0 2018-03-21 09:04:05
 7  0  16592 6067264 1659764 16484316    0    0     0    53 3592 7289 43  0 57  0  0 2018-03-21 09:04:06
 7  0  16592 6089388 1659764 16484328    0    0     0    29 3032 4140 31  0 69  0  0 2018-03-21 09:04:07
 7  1  16592 6111452 1659764 16484348    0    0     0    74 3098 7559 33  0 66  0  0 2018-03-21 09:04:08
 7  0  16592 6111232 1659764 16484360    0    0     0     8 2784 3083 30  0 70  0  0 2018-03-21 09:04:09
 7  0  16592 6109252 1659764 16484380    0    0     0     4 3054 7117 34  0 66  0  0 2018-03-21 09:04:10
 7  0  16592 6108900 1659764 16484376    0    0     0     2 2811 3065 31  0 69  0  0 2018-03-21 09:04:11
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CET
 7  0  16592 6134216 1659764 16484388    0    0     0    22 3148 7579 34  0 66  0  0 2018-03-21 09:04:12
 7  0  16592 6133900 1659764 16484352    0    0     0    21 3034 3064 31  0 69  0  0 2018-03-21 09:04:13
 8  0  16592 6136464 1659764 16484400    0    0     0    49 3399 8904 33  0 66  0  0 2018-03-21 09:04:14
10  0  16592 6136376 1659764 16484396    0    0     0     0 2802 2168 30  0 70  0  0 2018-03-21 09:04:15
 7  0  16592 6136140 1659764 16484416    0    0     0    94 3084 6696 34  0 66  0  0 2018-03-21 09:04:16
 8  0  16592 6134812 1659764 16484428    0    0     0    77 2830 1610 30  0 70  0  0 2018-03-21 09:04:17
 7  0  16592 6146252 1659812 16484460    0    0     0    73 3023 7477 32  0 67  0  0 2018-03-21 09:04:18
 7  0  16592 6127092 1659824 16484488    0    0     0   392 2944 3597 31  0 69  0  0 2018-03-21 09:04:19
13  0  16592 6110700 1659824 16484508    0    0     0     0 2929 5111 33  0 67  0  0 2018-03-21 09:04:20
