procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CET
 7  0  16592 4579364 1660364 16492524    0    0     0    54 2966 4054 32  0 68  0  0 2018-03-21 09:12:09
 8  0  16592 4579776 1660368 16492536    0    0     0   127 2930 2372 31  0 68  0  0 2018-03-21 09:12:10
 7  0  16592 4567016 1660368 16492584    0    0     0    85 3108 3713 31  0 69  0  0 2018-03-21 09:12:11
 7  0  16592 4569220 1660368 16492600    0    0     0     1 2973 2353 31  0 69  0  0 2018-03-21 09:12:12
 7  0  16592 4565136 1660368 16492608    0    0     0     0 2901 3742 32  0 68  0  0 2018-03-21 09:12:13
 7  0  16592 4547040 1660368 16492616    0    0     0     0 2838 2278 30  0 69  0  0 2018-03-21 09:12:14
 7  0  16592 4512596 1660372 16492636    0    0     0    47 3067 4161 32  0 67  0  0 2018-03-21 09:12:15
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CET
 7  0  16592 4514240 1660372 16492680    0    0     0   199 2919 2677 31  0 69  0  0 2018-03-21 09:12:16
 8  0  16592 4512832 1660372 16492728    0    0     0    83 3197 4139 32  0 67  0  0 2018-03-21 09:12:17
 7  0  16592 4513604 1660372 16492728    0    0     0    63 2967 2536 31  0 69  0  0 2018-03-21 09:12:18
 7  0  16592 4509032 1660372 16492752    0    0     0     0 3021 4019 32  0 68  0  0 2018-03-21 09:12:19
 7  0  16592 4506900 1660376 16492772    0    0     0    63 3042 3325 32  0 68  0  0 2018-03-21 09:12:20
20  0  16592 4489016 1660376 16492760    0    0     0     4 3035 3001 31  0 68  0  0 2018-03-21 09:12:21
 7  0  16592 4488012 1660376 16492784    0    0     0    70 3210 4996 34  0 66  0  0 2018-03-21 09:12:22
 7  0  16592 4457732 1660376 16492788    0    0     0     9 3299 3193 33  0 66  0  0 2018-03-21 09:12:23
 7  0  16592 4457396 1660376 16492804    0    0     0    67 2985 5262 31  0 69  0  0 2018-03-21 09:12:24
 7  0  16592 4457400 1660376 16492804    0    0     0     0 2999 3517 31  0 69  0  0 2018-03-21 09:12:25
 7  0  16592 4454824 1660380 16492836    0    0     0    35 3135 6572 32  0 67  0  0 2018-03-21 09:12:26
10  0  16592 4454924 1660380 16492848    0    0     0     0 2869 2736 30  0 70  0  0 2018-03-21 09:12:27
 8  0  16592 4452248 1660380 16492872    0    0     0    62 3039 7951 32  0 68  0  0 2018-03-21 09:12:28
 7  0  16592 4450852 1660380 16492872    0    0     0    21 2927 3287 31  0 69  0  0 2018-03-21 09:12:29
 7  0  16592 4449272 1660380 16492892    0    0     0     1 3044 7536 32  0 68  0  0 2018-03-21 09:12:30
 7  0  16592 4447560 1660388 16492912    0    0     0   178 2962 3565 31  0 69  0  0 2018-03-21 09:12:31
 7  0  16592 4438632 1660388 16492936    0    0     0     0 2966 6071 32  0 68  0  0 2018-03-21 09:12:32
 7  0  16592 4437740 1660388 16492916    0    0     0    29 2939 3113 30  0 70  0  0 2018-03-21 09:12:33
 7  0  16592 4416960 1660388 16492936    0    0     0     1 3091 5783 33  0 67  0  0 2018-03-21 09:12:34
 7  0  16592 4401632 1660388 16492980    0    0     0   234 3007 3099 31  0 69  0  0 2018-03-21 09:12:35
 7  0  16592 4401680 1660396 16493000    0    0     0    87 3101 5911 31  0 69  0  0 2018-03-21 09:12:36
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CET
 7  0  16592 4395464 1660396 16493020    0    0     0     0 2846 2601 31  0 69  0  0 2018-03-21 09:12:37
 7  0  16592 4395468 1660396 16493028    0    0     0     5 2847 2739 30  0 69  0  0 2018-03-21 09:12:38
 7  0  16592 4370664 1660396 16493044    0    0     0     1 2932 2657 31  0 69  0  0 2018-03-21 09:12:39
 7  0  16592 4366992 1660396 16493068    0    0     0    90 3032 3338 32  0 68  0  0 2018-03-21 09:12:40
 7  0  16592 4352580 1660400 16493060    0    0     0   168 2953 2528 30  0 69  1  0 2018-03-21 09:12:41
 8  0  16592 4351188 1660400 16493072    0    0     0     1 2837 2635 31  0 69  0  0 2018-03-21 09:12:42
 7  0  16592 4350672 1660400 16493096    0    0     0    14 2889 3087 31  0 69  0  0 2018-03-21 09:12:43
 7  0  16592 4350632 1660400 16493112    0    0     0     0 2731 1797 30  0 70  0  0 2018-03-21 09:12:44
 7  0  16592 4340192 1660400 16493136    0    0     0    93 2980 3815 32  0 67  0  0 2018-03-21 09:12:45
 7  0  16592 4340132 1660404 16493168    0    0     0    96 2764 1820 29  0 70  0  0 2018-03-21 09:12:46
 7  0  16592 4340116 1660404 16493184    0    0     0     4 2927 3123 31  0 69  0  0 2018-03-21 09:12:47
 7  0  16592 4322528 1660404 16493204    0    0     0     0 2900 2470 31  0 69  0  0 2018-03-21 09:12:48
 7  0  16592 4308408 1660404 16493212    0    0     0     0 2910 3430 32  0 68  0  0 2018-03-21 09:12:49
 7  0  16592 4303836 1660404 16493232    0    0     0   111 2960 3044 31  0 69  0  0 2018-03-21 09:12:50
 7  0  16592 4297404 1660412 16493268    0    0     0  2562 3323 3201 31  0 68  2  0 2018-03-21 09:12:51
 7  0  16592 4297180 1660412 16493276    0    0     0     5 2816 2623 31  0 69  0  0 2018-03-21 09:12:52
 7  0  16592 4294452 1660412 16493252    0    0     0    19 2932 3199 31  0 69  0  0 2018-03-21 09:12:53
 9  0  16592 4285620 1660412 16493280    0    0     0    67 2799 1952 30  0 70  0  0 2018-03-21 09:12:54
 7  0  16592 4283200 1660412 16493280    0    0     0     0 2920 3213 32  0 68  0  0 2018-03-21 09:12:55
 7  0  16592 4282636 1660412 16493320    0    0     0   157 2849 2253 30  0 70  0  0 2018-03-21 09:12:56
 7  0  16592 4275416 1660412 16493328    0    0     0     4 2847 3042 31  0 69  0  0 2018-03-21 09:12:57
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CET
 7  0  16592 4263068 1660412 16493348    0    0     0     0 2946 2851 31  0 69  0  0 2018-03-21 09:12:58
 7  0  16592 4252856 1660412 16493376    0    0     0    53 2872 2667 30  0 69  0  0 2018-03-21 09:12:59
 7  0  16592 4252820 1660412 16493400    0    0     0     1 2944 2899 31  0 69  0  0 2018-03-21 09:13:00
 7  0  16592 4240384 1660412 16493404    0    0     0    26 2962 3308 31  0 69  0  0 2018-03-21 09:13:01
 7  0  16592 4227776 1660412 16493428    0    0     0    39 2863 2996 30  0 69  0  0 2018-03-21 09:13:02
 7  0  16592 4214312 1660412 16493460    0    0     0    14 3097 3311 32  0 68  0  0 2018-03-21 09:13:03
 7  0  16592 4204000 1660412 16493480    0    0     0     5 2823 3035 31  0 69  0  0 2018-03-21 09:13:04
 7  0  16592 4193428 1660412 16493496    0    0     0    53 2888 2832 31  0 69  0  0 2018-03-21 09:13:05
 7  0  16592 4185084 1660412 16493520    0    0     0   168 2862 2712 31  0 69  0  0 2018-03-21 09:13:06
 7  0  16592 4185020 1660412 16493548    0    0     0   242 2994 2762 31  0 69  0  0 2018-03-21 09:13:07
 7  0  16592 4184888 1660412 16493568    0    0     0     1 2771 2292 30  0 70  0  0 2018-03-21 09:13:08
 7  0  16592 4184624 1660412 16493572    0    0     0     0 2912 2644 31  0 69  0  0 2018-03-21 09:13:09
 7  0  16592 4178036 1660412 16493596    0    0     0    34 2915 2724 31  0 69  0  0 2018-03-21 09:13:10
 7  0  16592 4177564 1660412 16493604    0    0     0    16 3049 3524 32  0 68  0  0 2018-03-21 09:13:11
 7  0  16592 4177328 1660416 16493616    0    0     0   195 2903 2597 30  0 69  0  0 2018-03-21 09:13:12
 7  0  16592 4172864 1660416 16493616    0    0     0    90 2963 2542 31  0 69  0  0 2018-03-21 09:13:13
 7  0  16592 4150280 1660416 16493632    0    0     0     1 2871 3027 31  0 69  0  0 2018-03-21 09:13:14
 7  0  16592 4150092 1660416 16493680    0    0     0    29 2931 2087 30  0 70  0  0 2018-03-21 09:13:15
 8  0  16592 4142060 1660416 16493696    0    0     0     5 2978 2868 31  0 69  0  0 2018-03-21 09:13:16
 7  0  16592 4127784 1660416 16493708    0    0     0   124 3122 2887 30  0 69  0  0 2018-03-21 09:13:17
 8  0  16592 4127604 1660416 16493740    0    0     0     1 2912 2038 30  0 70  0  0 2018-03-21 09:13:18
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CET
 7  0  16592 4119068 1660416 16493764    0    0     0     0 2984 2967 31  0 69  0  0 2018-03-21 09:13:19
 7  0  16592 4115184 1660416 16493780    0    0     0     0 2935 2443 31  0 69  0  0 2018-03-21 09:13:20
 7  0  16592 4116708 1660416 16493776    0    0     0    47 3219 3093 32  0 68  0  0 2018-03-21 09:13:21
 7  0  16592 4099536 1660420 16493780    0    0     0   111 3014 2370 30  0 69  0  0 2018-03-21 09:13:22
 7  0  16592 4099740 1660420 16493812    0    0     0    54 3112 2555 31  0 69  0  0 2018-03-21 09:13:23
 7  0  16592 4095068 1660420 16493824    0    0     0     0 3004 3382 32  0 68  0  0 2018-03-21 09:13:24
 8  0  16592 4084844 1660420 16493864    0    0     0     0 3013 2714 31  0 69  0  0 2018-03-21 09:13:25
 7  0  16592 4084708 1660420 16493856    0    0     0   100 3071 2613 31  0 69  0  0 2018-03-21 09:13:26
 7  0  16592 4084424 1660424 16493884    0    0     0   247 2959 2917 31  0 69  0  0 2018-03-21 09:13:27
 7  0  16592 4082252 1660424 16493900    0    0     0    65 2975 3228 31  0 69  0  0 2018-03-21 09:13:28
 7  0  16592 4076776 1660424 16493904    0    0     0    30 3070 3413 31  0 68  0  0 2018-03-21 09:13:29
 7  0  16592 4076400 1660424 16493928    0    0     0     1 2850 2264 29  0 70  0  0 2018-03-21 09:13:30
 7  0  16592 4063952 1660424 16493928    0    0     0     0 2994 2905 31  0 69  0  0 2018-03-21 09:13:31
 7  0  16592 4063520 1660424 16493960    0    0     0    47 2851 3543 31  0 69  0  0 2018-03-21 09:13:32
 7  0  16592 4049840 1660424 16493952    0    0     0    17 3026 2601 30  0 69  0  0 2018-03-21 09:13:33
 7  0  16592 4049072 1660424 16493988    0    0     0    23 2897 2700 30  0 69  0  0 2018-03-21 09:13:34
 7  0  16592 4047916 1660424 16494032    0    0     0    70 2893 2486 30  0 70  0  0 2018-03-21 09:13:35
 7  0  16592 4044296 1660424 16494064    0    0     0   168 2955 2607 31  0 69  0  0 2018-03-21 09:13:36
 7  0  16592 4043532 1660424 16494056    0    0     0   141 2836 2358 29  0 70  1  0 2018-03-21 09:13:37
 7  0  16592 4037268 1660424 16494076    0    0     0     4 2953 2799 31  0 69  0  0 2018-03-21 09:13:38
 7  0  16592 4034452 1660424 16494112    0    0     0    94 3067 2439 30  0 70  0  0 2018-03-21 09:13:39
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CET
 7  0  16592 4031956 1660424 16494136    0    0     0     0 2889 2070 30  0 70  0  0 2018-03-21 09:13:40
 7  0  16592 3999788 1660424 16494148    0    0     0     0 2912 2252 30  0 70  0  0 2018-03-21 09:13:41
 7  1  16592 3999476 1660428 16494128    0    0     0   130 2922 2920 30  0 69  0  0 2018-03-21 09:13:42
 7  0  16592 3990400 1660428 16494148    0    0     0    54 3097 2665 31  0 69  0  0 2018-03-21 09:13:43
 7  0  16592 3989804 1660428 16494168    0    0     0    49 2934 2673 31  0 69  0  0 2018-03-21 09:13:44
 7  0  16592 3985968 1660428 16494196    0    0     0    45 2974 2419 30  0 70  0  0 2018-03-21 09:13:45
 7  0  16592 3977576 1660428 16494220    0    0     0     0 2845 2600 31  0 69  0  0 2018-03-21 09:13:46
 7  0  16592 3972840 1660428 16494240    0    0     0    12 2959 2436 30  0 69  0  0 2018-03-21 09:13:47
 7  0  16592 3966312 1660428 16494260    0    0     0   118 2885 2237 30  0 70  0  0 2018-03-21 09:13:48
 7  0  16592 3966868 1660428 16494288    0    0     0     5 2810 2902 31  0 69  0  0 2018-03-21 09:13:49
 7  0  16592 3966592 1660428 16494252    0    0     0    30 2792 1958 30  0 70  0  0 2018-03-21 09:13:50
 7  1  16592 3966296 1660428 16494300    0    0     0  3222 3347 3567 32  0 67  1  0 2018-03-21 09:13:51
 7  0  16592 3966816 1660428 16494312    0    0     0   177 2869 2663 30  0 69  1  0 2018-03-21 09:13:52
 7  0  16592 3966532 1660428 16494328    0    0     0   121 2944 2956 30  0 69  0  0 2018-03-21 09:13:53
 7  0  16592 3956244 1660428 16494332    0    0     0     5 2786 2192 30  0 70  0  0 2018-03-21 09:13:54
 7  0  16592 3956036 1660428 16494344    0    0     0     1 2836 2485 30  0 70  0  0 2018-03-21 09:13:55
 7  0  16592 3949364 1660428 16494380    0    0     0     0 2815 2767 31  0 69  0  0 2018-03-21 09:13:56
 7  0  16592 3950084 1660428 16494388    0    0     0     0 2756 2042 30  0 70  0  0 2018-03-21 09:13:57
 7  0  16592 3949288 1660428 16494404    0    0     0   165 2943 2394 30  0 70  0  0 2018-03-21 09:13:58
27  0  16592 3930780 1660428 16494424    0    0     0     0 2908 2712 31  0 69  0  0 2018-03-21 09:13:59
 8  0  16592 3930676 1660428 16494440    0    0     0     0 2814 2253 30  0 70  0  0 2018-03-21 09:14:00
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CET
 7  0  16592 3922652 1660428 16494452    0    0     0   114 2948 2277 31  0 69  0  0 2018-03-21 09:14:01
 7  0  16592 3922312 1660428 16494460    0    0     0     0 3053 3150 31  0 68  0  0 2018-03-21 09:14:02
 7  0  16592 3922100 1660436 16494456    0    0     0   181 3094 2479 30  0 69  0  0 2018-03-21 09:14:03
 7  0  16592 3920972 1660436 16494492    0    0     0     0 2931 1948 30  0 70  0  0 2018-03-21 09:14:04
 7  0  16592 3914872 1660436 16494516    0    0     0    50 2958 2919 30  0 69  0  0 2018-03-21 09:14:05
 7  0  16592 3908604 1660436 16494528    0    0     0     5 3077 2249 31  0 69  0  0 2018-03-21 09:14:06
 8  0  16592 3908680 1660436 16494560    0    0     0   219 3196 3213 32  0 68  0  0 2018-03-21 09:14:07
 7  0  16592 3908948 1660440 16494572    0    0     0   171 2958 1990 30  0 70  0  0 2018-03-21 09:14:08
 7  0  16592 3908608 1660440 16494552    0    0     0     4 2882 2876 31  0 69  0  0 2018-03-21 09:14:09
 7  0  16592 3903888 1660440 16494588    0    0     0    38 2963 2681 31  0 69  0  0 2018-03-21 09:14:10
 8  0  16592 3893920 1660440 16494608    0    0     0     0 2934 2469 30  0 70  0  0 2018-03-21 09:14:11
 7  0  16592 3883664 1660440 16494644    0    0     0    34 2946 2140 30  0 70  0  0 2018-03-21 09:14:12
 8  0  16592 3873292 1660444 16494648    0    0     0    81 3162 3236 33  0 66  0  0 2018-03-21 09:14:13
 7  0  16592 3872584 1660444 16494672    0    0     0     0 2951 2940 32  0 68  0  0 2018-03-21 09:14:14
 7  0  16592 3870136 1660444 16494676    0    0     0    66 3000 2395 31  0 69  0  0 2018-03-21 09:14:15
 7  0  16592 3869356 1660444 16494712    0    0     0     0 2985 3368 33  0 67  0  0 2018-03-21 09:14:16
 7  0  16592 3867092 1660444 16494716    0    0     0     0 2886 2575 31  0 69  0  0 2018-03-21 09:14:17
 7  0  16592 3861160 1660444 16494728    0    0     0    66 2912 2662 30  0 70  0  0 2018-03-21 09:14:18
 7  0  16592 3852792 1660452 16494744    0    0     0    28 2991 2809 31  0 69  0  0 2018-03-21 09:14:19
 7  0  16592 3853168 1660452 16494776    0    0     0    22 3157 3336 30  0 69  0  0 2018-03-21 09:14:20
 7  0  16592 3852948 1660452 16494772    0    0     0     0 2989 2506 31  0 69  0  0 2018-03-21 09:14:21
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CET
 7  0  16592 3852332 1660452 16494784    0    0     0     0 2885 2558 30  0 70  0  0 2018-03-21 09:14:22
 7  0  16592 3845764 1660452 16494824    0    0     0   144 3140 3342 30  0 70  0  0 2018-03-21 09:14:23
 8  0  16592 3844704 1660456 16494828    0    0     0    52 3083 3544 31  0 69  0  0 2018-03-21 09:14:24
 7  1  16592 3844420 1660456 16494868    0    0     0     5 2834 1688 29  0 70  0  0 2018-03-21 09:14:25
 7  0  16592 3843764 1660456 16494900    0    0     0    77 3147 3015 30  0 69  0  0 2018-03-21 09:14:26
11  0  16592 3843532 1660456 16494924    0    0     0     0 2976 2834 30  0 70  0  0 2018-03-21 09:14:27
 8  0  16592 3834808 1660456 16494948    0    0     0     0 2946 2753 31  0 69  0  0 2018-03-21 09:14:28
 7  0  16592 3831616 1660460 16494932    0    0     0    66 2993 2517 31  0 69  0  0 2018-03-21 09:14:29
 7  0  16592 3825420 1660460 16494952    0    0     0     4 2898 3090 31  0 69  0  0 2018-03-21 09:14:30
 7  0  16592 3825072 1660460 16494964    0    0     0     0 2871 2408 30  0 70  0  0 2018-03-21 09:14:31
 7  0  16592 3824612 1660460 16494976    0    0     0    22 2871 2188 30  0 70  0  0 2018-03-21 09:14:32
 7  0  16592 3824604 1660460 16494956    0    0     0    18 2927 2350 30  0 70  0  0 2018-03-21 09:14:33
 7  0  16592 3820340 1660468 16494980    0    0     0   248 3061 3193 31  0 69  0  0 2018-03-21 09:14:34
 7  0  16592 3822296 1660468 16494996    0    0     0     4 2962 2460 31  0 69  0  0 2018-03-21 09:14:35
 7  0  16592 3822096 1660468 16495036    0    0     0     0 2858 2251 30  0 70  0  0 2018-03-21 09:14:36
 7  0  16592 3804160 1660468 16495064    0    0     0     0 2881 2515 30  0 69  0  0 2018-03-21 09:14:37
 7  0  16592 3802872 1660468 16495092    0    0     0   168 2897 2084 30  0 70  0  0 2018-03-21 09:14:38
 7  0  16592 3802860 1660468 16495108    0    0     0   199 3049 3931 32  0 68  0  0 2018-03-21 09:14:39
 7  0  16592 3798156 1660472 16495128    0    0     0    82 2913 3018 31  0 69  0  0 2018-03-21 09:14:40
 7  0  16592 3793376 1660472 16495136    0    0     0     0 2968 2461 30  0 70  0  0 2018-03-21 09:14:41
 7  0  16592 3792436 1660472 16495156    0    0     0     0 2814 2188 30  0 70  0  0 2018-03-21 09:14:42
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CET
 7  0  16592 3789120 1660472 16495172    0    0     0    98 2981 2976 31  0 69  0  0 2018-03-21 09:14:43
 7  0  16592 3788448 1660472 16495200    0    0     0     0 2930 2052 30  0 70  0  0 2018-03-21 09:14:44
 7  1  16592 3788248 1660472 16495192    0    0     0   108 3011 3167 30  0 69  1  0 2018-03-21 09:14:45
 7  0  16592 3787416 1660472 16495248    0    0     0     1 2871 1953 30  0 70  0  0 2018-03-21 09:14:46
 7  0  16592 3775292 1660472 16495260    0    0     0     0 2883 2472 30  0 69  0  0 2018-03-21 09:14:47
 7  0  16592 3776100 1660472 16495292    0    0     0    65 3012 2183 30  0 70  0  0 2018-03-21 09:14:48
 8  0  16592 3770004 1660472 16495296    0    0     0   106 3082 2860 30  0 69  0  0 2018-03-21 09:14:49
 7  0  16592 3769988 1660476 16495316    0    0     0    43 2990 2740 31  0 69  0  0 2018-03-21 09:14:50
 7  0  16592 3769576 1660476 16495324    0    0     0     0 2906 2011 30  0 70  0  0 2018-03-21 09:14:51
 9  0  16592 3769400 1660476 16495344    0    0     0  1642 3123 3470 31  0 68  1  0 2018-03-21 09:14:52
 7  0  16592 3769480 1660476 16495336    0    0     0    18 2902 2322 30  0 70  0  0 2018-03-21 09:14:53
 7  0  16592 3769940 1660476 16495348    0    0     0     0 2819 2487 30  0 70  0  0 2018-03-21 09:14:54
 7  0  16592 3769220 1660480 16495372    0    0     0    41 2919 2115 30  0 70  0  0 2018-03-21 09:14:55
 9  0  16592 3754192 1660480 16495392    0    0     0     0 2818 2659 31  0 69  0  0 2018-03-21 09:14:56
 7  0  16592 3753424 1660480 16495404    0    0     0     5 2790 2226 31  0 69  0  0 2018-03-21 09:14:57
 7  0  16592 3753392 1660480 16495432    0    0     0    83 2874 2386 30  0 70  0  0 2018-03-21 09:14:58
 8  0  16592 3738884 1660480 16495452    0    0     0   135 2949 3112 32  0 68  0  0 2018-03-21 09:14:59
 7  0  16592 3737944 1660488 16495472    0    0     0    55 2798 1770 30  0 70  0  0 2018-03-21 09:15:00
10  0  16592 3732748 1660488 16495476    0    0     0     4 3103 3173 33  0 67  0  0 2018-03-21 09:15:01
 7  0  16592 3726932 1660488 16495536    0    0     0     0 3062 2504 32  0 67  0  0 2018-03-21 09:15:02
 7  0  16592 3725460 1660488 16495552    0    0     0    50 2954 2329 31  0 69  0  0 2018-03-21 09:15:03
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CET
 7  0  16592 3720256 1660488 16495572    0    0     0   153 3001 2842 30  0 69  0  0 2018-03-21 09:15:04
 7  0  16592 3719628 1660492 16495556    0    0     0    51 2899 2054 30  0 70  0  0 2018-03-21 09:15:05
 7  0  16592 3715296 1660492 16495588    0    0     0     4 2837 2738 30  0 69  0  0 2018-03-21 09:15:06
 7  0  16592 3714844 1660492 16495600    0    0     0    30 2792 1727 29  0 71  0  0 2018-03-21 09:15:07
22  0  16592 3715028 1660492 16495620    0    0     0   245 2971 2794 30  0 69  0  0 2018-03-21 09:15:08
 7  0  16592 3713456 1660492 16495628    0    0     0    74 2973 2801 31  0 69  0  0 2018-03-21 09:15:09
 7  0  16592 3713208 1660492 16495648    0    0     0    61 2851 2372 30  0 70  0  0 2018-03-21 09:15:10
 7  0  16592 3713344 1660492 16495668    0    0     0   101 2941 2146 30  0 70  0  0 2018-03-21 09:15:11
 7  0  16592 3710488 1660492 16495692    0    0     0     0 2808 2897 31  0 69  0  0 2018-03-21 09:15:12
 7  0  16592 3711064 1660492 16495676    0    0     0    18 2883 2290 30  0 69  0  0 2018-03-21 09:15:13
 7  0  16592 3710708 1660492 16495692    0    0     0    32 2797 1960 30  0 70  0  0 2018-03-21 09:15:14
 7  0  16592 3710844 1660492 16495720    0    0     0   246 2969 2496 30  0 70  0  0 2018-03-21 09:15:15
10  0  16592 3710888 1660496 16495728    0    0     0   125 2977 2989 30  0 69  0  0 2018-03-21 09:15:16
 8  0  16592 3710544 1660496 16495736    0    0     0     0 2817 2034 30  0 70  0  0 2018-03-21 09:15:17
 7  0  16592 3710904 1660496 16495760    0    0     0     0 2841 1761 29  0 70  0  0 2018-03-21 09:15:18
 7  0  16592 3711228 1660496 16495784    0    0     0     0 2915 3332 31  0 69  0  0 2018-03-21 09:15:19
 7  0  16592 3710584 1660496 16495804    0    0     0    45 2930 3064 31  0 69  0  0 2018-03-21 09:15:20
 7  0  16592 3712116 1660496 16495832    0    0     0   158 3023 2225 30  0 70  0  0 2018-03-21 09:15:21
 7  0  16592 3705644 1660496 16495812    0    0     0     0 2864 2484 30  0 70  0  0 2018-03-21 09:15:22
 7  0  16592 3704764 1660496 16495840    0    0     0    18 2992 2863 31  0 69  0  0 2018-03-21 09:15:23
 7  0  16592 3702312 1660496 16495852    0    0     0     0 2908 2234 30  0 70  0  0 2018-03-21 09:15:24
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CET
 7  0  16592 3701880 1660496 16495848    0    0     0    51 2886 2057 30  0 70  0  0 2018-03-21 09:15:25
 7  0  16592 3699340 1660500 16495868    0    0     0   150 2993 3064 31  0 69  0  0 2018-03-21 09:15:26
 7  0  16592 3697356 1660500 16495876    0    0     0    34 2908 2445 30  0 70  0  0 2018-03-21 09:15:27
 7  0  16592 3696808 1660500 16495896    0    0     0     1 2809 1842 29  0 70  0  0 2018-03-21 09:15:28
 7  0  16592 3696256 1660500 16495904    0    0     0     0 2916 2574 30  0 70  0  0 2018-03-21 09:15:29
 7  0  16592 3695752 1660500 16495936    0    0     0    67 2903 3128 30  0 69  0  0 2018-03-21 09:15:30
 8  0  16592 3695992 1660504 16495936    0    0     0   113 2911 1780 29  0 71  0  0 2018-03-21 09:15:31
 7  0  16592 3695948 1660504 16495960    0    0     0     4 2895 1914 30  0 70  0  0 2018-03-21 09:15:32
 7  0  16592 3696496 1660504 16495940    0    0     0    38 2878 2215 30  0 70  0  0 2018-03-21 09:15:33
 7  0  16592 3694436 1660504 16495960    0    0     0     0 3031 2979 32  0 68  0  0 2018-03-21 09:15:34
 7  0  16592 3694228 1660504 16495984    0    0     0    89 2884 1913 30  0 70  0  0 2018-03-21 09:15:35
 7  0  16592 3693832 1660504 16496000    0    0     0    51 2926 2627 30  0 69  0  0 2018-03-21 09:15:36
 7  0  16592 3693660 1660504 16496024    0    0     0    30 2818 2871 31  0 69  0  0 2018-03-21 09:15:37
 7  0  16592 3693268 1660504 16496044    0    0     0   106 2849 2467 30  0 70  0  0 2018-03-21 09:15:38
 8  0  16592 3693436 1660504 16496064    0    0     0   174 2967 2348 31  0 69  0  0 2018-03-21 09:15:39
 7  0  16592 3694276 1660504 16496100    0    0     0   128 2954 3314 32  0 68  0  0 2018-03-21 09:15:40
 7  0  16592 3692100 1660504 16496128    0    0     0    55 2798 2148 30  0 69  0  0 2018-03-21 09:15:41
 7  0  16592 3691840 1660504 16496116    0    0     0     9 2764 2282 30  0 70  0  0 2018-03-21 09:15:42
 7  0  16592 3691556 1660504 16496128    0    0     0    81 2783 1806 30  0 70  0  0 2018-03-21 09:15:43
 8  0  16592 3688984 1660504 16496164    0    0     0    58 2875 2684 30  0 69  0  0 2018-03-21 09:15:44
 7  0  16592 3686876 1660504 16496208    0    0     0    76 3506 2729 31  0 69  0  0 2018-03-21 09:15:45
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CET
 7  1  16592 3685660 1660512 16496216    0    0     0    47 3600 2362 30  0 70  0  0 2018-03-21 09:15:46
 7  0  16592 3686028 1660512 16496240    0    0     0     8 3141 2537 30  0 70  0  0 2018-03-21 09:15:47
10  0  16592 3685744 1660512 16496260    0    0     0    50 3247 3124 32  0 68  0  0 2018-03-21 09:15:48
 7  0  16592 3685500 1660512 16496276    0    0     0    51 3069 2787 30  0 69  0  0 2018-03-21 09:15:49
 7  0  16592 3678972 1660512 16496304    0    0     0   133 3066 2892 30  0 69  0  0 2018-03-21 09:15:50
 7  0  16592 3678984 1660512 16496324    0    0     0    10 3148 3458 31  0 69  0  0 2018-03-21 09:15:51
 8  1  16592 3678220 1660516 16496352    0    0     0  3664 3508 2547 31  0 68  1  0 2018-03-21 09:15:52
 7  0  16592 3677972 1660516 16496380    0    0     0   117 3081 2477 31  0 69  0  0 2018-03-21 09:15:53
 7  0  16592 3677552 1660516 16496380    0    0     0     0 2854 2285 31  0 69  0  0 2018-03-21 09:15:54
 7  1  16592 3676984 1660516 16496412    0    0     0   105 2961 3335 31  0 69  0  0 2018-03-21 09:15:55
 7  0  16592 3676552 1660516 16496432    0    0     0    14 2870 2171 31  0 69  0  0 2018-03-21 09:15:56
